file_urls,title
[[<Selector xpath='@src' data='http://i7.mangareader.net/yu-gi-oh-gx/1/'>]],1
file_urls,title
[<Selector xpath='@src' data='http://i7.mangareader.net/yu-gi-oh-gx/1/'>],1
file_urls,title
[<Selector xpath='@src' data='http://i7.mangareader.net/yu-gi-oh-gx/1/'>],1
file_urls,title
http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,1
title,file_urls
<h1>Yu-Gi-Oh! GX 1</h1>,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
title,file_urls
Yu-Gi-Oh! GX 1,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
title,file_urls
Yu-Gi-Oh! GX 1,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
file_urls,title
http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,Yu-Gi-Oh! GX 1
file_urls,title
http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,Yu-Gi-Oh! GX 1
title,file_urls
Yu-Gi-Oh! GX 1,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
page,img,chapter
1  ,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,Yu-Gi-Oh! GX 1
chapter,page,img
Yu-Gi-Oh! GX 1,1  ,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
Yu-Gi-Oh! GX 1,2  ,http://i1.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473911.jpg
Yu-Gi-Oh! GX 1,3  ,http://i9.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473912.jpg
Yu-Gi-Oh! GX 1,4  ,http://i5.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473913.jpg
Yu-Gi-Oh! GX 1,5  ,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473914.jpg
Yu-Gi-Oh! GX 1,6  ,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473915.jpg
Yu-Gi-Oh! GX 1,7  ,http://i9.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473916.jpg
Yu-Gi-Oh! GX 1,8  ,http://i5.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473917.jpg
Yu-Gi-Oh! GX 1,9  ,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473918.jpg
Yu-Gi-Oh! GX 1,10  ,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473919.jpg
Yu-Gi-Oh! GX 1,11  ,http://i8.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473920.jpg
Yu-Gi-Oh! GX 1,12  ,http://i8.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473921.jpg
Yu-Gi-Oh! GX 1,13  ,http://i8.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473922.jpg
Yu-Gi-Oh! GX 1,14  ,http://i6.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473923.jpg
Yu-Gi-Oh! GX 1,15  ,http://i4.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473924.jpg
Yu-Gi-Oh! GX 1,16  ,http://i2.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473925.jpg
Yu-Gi-Oh! GX 1,17  ,http://i6.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473926.jpg
Yu-Gi-Oh! GX 1,18  ,http://i6.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473927.jpg
Yu-Gi-Oh! GX 1,19  ,http://i10.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473928.jpg
Yu-Gi-Oh! GX 1,20  ,http://i2.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473929.jpg
Yu-Gi-Oh! GX 1,21  ,http://i4.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473930.jpg
Yu-Gi-Oh! GX 1,22  ,http://i6.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473931.jpg
Yu-Gi-Oh! GX 1,23  ,http://i4.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473932.jpg
Yu-Gi-Oh! GX 1,24  ,http://i4.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473933.jpg
Yu-Gi-Oh! GX 1,25  ,http://i4.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473934.jpg
Yu-Gi-Oh! GX 1,26  ,http://i10.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473935.jpg
Yu-Gi-Oh! GX 1,27  ,http://i2.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473936.jpg
Yu-Gi-Oh! GX 1,28  ,http://i10.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473937.jpg
Yu-Gi-Oh! GX 1,29  ,http://i4.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473938.jpg
Yu-Gi-Oh! GX 1,30  ,http://i2.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473939.jpg
Yu-Gi-Oh! GX 1,31  ,http://i2.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473940.jpg
Yu-Gi-Oh! GX 2,1  ,http://i4.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473941.jpg
Yu-Gi-Oh! GX 2,2  ,http://i6.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473942.jpg
Yu-Gi-Oh! GX 2,3  ,http://i10.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473943.jpg
Yu-Gi-Oh! GX 2,4  ,http://i2.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473944.jpg
